Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single
1,0.0,0.0,0.21311475409836064,0.4,0.6,0.75,0.19047619047619047,1.0,0.6,0.0625,0.06666666666666667,0.043478260869565216,0.37887319609834147,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
0,0.14754098360655737,0.0,0.02459016393442623,0.6,0.6,0.5,0.047619047619047616,0.0,0.2,0.0625,0.0,0.0,0.37767315917412847,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,0.0,0.0,0.05737704918032787,0.6,0.6,0.25,0.047619047619047616,1.0,0.4666666666666667,0.0625,0.0,0.0,0.39773531493276715,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,0.0,0.0,0.2459016393442623,0.4,0.6,0.5,0.047619047619047616,0.0,0.7333333333333333,0.125,0.13333333333333333,0.17391304347826086,0.44641373580725563,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0.0,0.0,0.00819672131147541,0.4,0.6,1.0,0.047619047619047616,0.0,0.3333333333333333,0.0625,0.0,0.06521739130434782,0.4293978276254654,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
1,0.0,1.0,0.00819672131147541,0.4,0.6,0.5,0.23809523809523808,0.0,0.0,0.0625,0.6666666666666666,0.15217391304347827,0.6341425890027385,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0,0.2786885245901639,0.0,0.06557377049180328,0.8,0.8,0.5,0.09523809523809523,1.0,0.26666666666666666,0.0625,0.06666666666666667,0.1956521739130435,0.510200313855811,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,0.01639344262295082,0.0,0.09836065573770492,0.8,0.8,1.0,0.3333333333333333,1.0,0.6666666666666666,0.125,0.06666666666666667,0.021739130434782608,0.45859872611464964,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0,0.5081967213114754,1.0,0.01639344262295082,0.6,0.8,0.5,0.38095238095238093,0.0,0.06666666666666667,0.125,0.06666666666666667,0.08695652173913043,0.5530324009969537,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
0,0.04918032786885246,0.0,0.18032786885245902,0.6,0.6,0.0,0.09523809523809523,0.0,0.2,0.125,0.2,0.2391304347826087,0.5019231360964953,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
